DateTime,AddedIPs,RemovedIPs
1539069631,5,3
1539071805,5,8
1539073754,7,3
1539075865,6,5
1539078028,5,2
1539079955,7,4
1539081888,4,2
1539083793,7,3
1539085725,6,2
1539087632,8,4
1539089548,7,5
1539091587,7,8
1539093699,8,6
1539095552,3,2
1539097537,9,8
1539099633,5,2
1539101552,8,5
1539103486,4,1
1539105390,6,7
1539107325,5,3
1539109239,7,6
1539111147,5,4
1539113099,6,5
1539114999,9,5
1539116914,7,6
1539118888,7,6
1539120743,4,4
1539122679,8,7
1539124592,3,6
1539126530,10,5
1539128445,4,3
1539130366,6,7
1539132268,5,4
1539134185,5,6
1539136129,2,1
1539138026,4,5
1539139970,6,9
1539141867,3,7
1539143781,5,7
1539145720,5,4
1539147688,9,7
1539149566,5,5
1539151475,9,7
1539153407,4,5
1539155333,6,8
1539157249,4,5
1539159169,6,9
1539161066,3,3
1539163016,8,8
1539164907,4,5
1539166849,6,10
1539168761,7,7
1539170668,3,6
1539172588,8,8
1539174528,6,5
1539176482,7,7
1539178372,5,4
1539180513,11,8
1539182445,3,5
1539184789,8,10
1539186733,6,6
1539188687,7,6
1539190581,6,8
1539192506,6,5
1539194488,7,7
1539196376,6,5
1539198267,7,9
1539200197,4,4
1539202125,8,8
1539204019,4,3
1539205966,7,9
1539207866,5,4
1539209784,7,8
1539211719,5,5
1539213629,6,7
1539215564,5,9
1539217478,8,6
1539219680,8,10
1539221587,4,4
1539223482,3,3
1539225407,4,6
1539227301,8,8
1539229242,4,6
1539231148,8,7
1539233059,4,6
1539235008,7,4
1539237035,5,3
1539238835,5,4
1539240764,5,4
1539242680,5,5
1539244582,5,7
1539246519,5,8
1539248483,7,12
1539250366,4,3
1539252270,6,8
1539254183,5,2
1539256130,8,6
1539258023,4,6
1539260179,6,6
1539262106,6,4
1539264043,6,5
1539266161,7,3
1539268093,6,5
1539270082,6,7
1539271935,6,6
1539273890,8,9
1539275775,7,6
1539277717,9,8
1539279619,4,4
1539281570,6,5
1539283460,4,5
1539285390,6,7
1539287321,6,6
1539289221,5,6
1539291156,7,5
1539293078,7,7
1539294974,8,7
1539296916,6,11
1539298883,5,9
1539300763,5,5
1539302684,6,7
1539304588,4,6
1539306526,8,5
1539308418,2,2
1539310361,6,5
1539312283,4,5
1539314191,8,6
1539316118,8,5
1539318035,9,6
1539319966,5,6
1539321884,5,5
1539323782,6,7
1539325716,3,4
1539327678,3,7
1539329561,4,4
1539331723,9,12
1539333647,4,2
1539335561,7,7
1539337459,6,6
1539339404,7,5
1539341555,6,9
1539343453,8,5
1539345390,7,5
1539347290,5,8
1539349332,8,6
1539351394,5,5
1539353435,8,5
1539355486,5,5
1539357397,7,7
1539359305,5,5
1539361244,7,5
1539363153,4,5
1539365065,6,5
1539367002,6,7
1539368909,6,6
1539370882,5,8
1539372752,5,7
1539374712,6,7
1539376584,4,4
1539378525,10,9
1539380429,5,5
1539382355,7,6
1539384799,6,6
1539386937,8,8
1539388835,4,8
1539390782,6,8
1539392665,7,7
1539394603,3,3
1539396562,4,3
1539398448,6,4
1539400339,3,6
1539402279,3,6
1539404191,4,6
1539406098,5,3
1539408038,5,9
1539409972,5,6
1539411903,4,3
1539413800,6,5
1539415693,5,7
1539417700,6,7
1539419572,5,4
1539421470,7,7
1539423374,28,3
1539425327,43,7
1539427244,124,4
1539429148,121,6
1539431082,75,4
1539433014,101,8
1539434902,44,5
1539436833,74,5
1539438763,47,6
1539440780,52,5
1539442584,45,6
1539444765,9,7
1539446674,65,7
1539448607,21,5
1539450525,64,9
1539452440,6,4
1539454361,54,8
1539456274,8,5
1539458206,58,7
1539460126,7,4
1539462016,12,8
1539463967,11,6
1539465878,9,7
1539467780,9,5
1539469719,6,4
1539471692,12,9
1539473575,7,7
1539475469,14,9
1539477410,6,4
1539479342,14,9
1539481238,1,1
1539483152,8,5
1539485078,2,5
1539487042,8,6
1539488898,3,7
1539490837,9,4
1539492742,3,5
1539494680,5,5
1539496616,4,4
1539498524,2,1
1539500489,6,5
1539502365,3,7
1539504530,8,15
1539506445,1,8
1539508342,6,16
1539510284,2,3
1539512216,6,94
1539514121,2,126
1539516043,5,121
1539517966,3,71
1539519888,4,72
1539521797,4,77
1539523714,4,45
1539525681,5,71
1539527571,2,26
1539529523,6,49
1539531404,1,6
1539533349,7,84
1539535243,1,6
1539537148,7,62
1539539090,1,15
1539541016,6,43
1539542920,2,21
1539544838,5,42
1539546761,4,11
1539548677,4,9
1539550597,5,10
1539552515,3,8
1539554518,4,11
1539556423,2,5
1539558778,7,17
1539560687,2,6
1539562609,14,12
1539564524,3,8
1539566439,7,10
1539568391,3,2
1539570399,4,7
1539572207,6,5
1539574115,6,5
1539576095,6,7
1539577965,4,4
1539579892,5,6
1539581782,6,1
1539583728,7,6
1539585635,4,1
1539587549,11,5
1539589481,5,2
1539591553,7,6
1539593566,6,3
1539595471,5,4
1539597389,5,5
1539599310,5,3
1539601289,7,5
1539603156,4,2
1539605126,10,4
1539606992,4,2
1539608931,8,6
1539610821,3,0
1539612766,8,6
1539614664,5,2
1539616840,6,6
1539618756,5,3
1539620671,5,4
1539622618,5,4
1539624520,5,4
1539626481,6,5
1539628600,16,2
1539630527,7,7
1539632438,0,1
1539634347,0,8
1539636300,0,2
1539638182,0,6
1539640112,0,2
1539642265,0,4
1539644213,0,5
1539646103,0,4
1539648028,0,8
1539649961,0,4
1539651871,0,9
1539653794,0,3
1539655712,0,8
1539657623,0,3
1539659570,0,9
1539661475,0,6
1539663403,0,6
1539665301,0,4
1539667225,0,6
1539669144,0,6
1539671090,0,7
1539672986,0,8
1539674905,0,6
1539676888,0,6
1539678877,0,4
1539680680,0,7
1539682575,0,3
1539684531,0,9
1539686412,0,3
1539688365,0,8
1539690263,0,6
1539692223,0,7
1539694122,0,6
1539696037,0,7
1539697951,0,5
1539699881,0,7
1539702092,0,6
1539703967,0,5
1539706059,0,7
1539708281,0,5
1539710191,0,8
1539712352,0,10
1539714266,0,5
1539745488,1,22
1539813389,1,0
1539833084,0,1
1539847002,1,0
1539900998,0,1
1539931726,0,1
1539964624,1,0
1540005176,1,0
1540045958,1,0
1540051766,0,1
1540082452,1,0
1540092048,0,1
1540133061,0,1
1540168119,0,1
1540186821,1,0
1540196429,1,0
1540241298,1,0
1540272261,1,0
1540274180,0,1
1540284033,1,0
1540328903,0,1
1540330823,0,1
1540364691,0,1
1540368769,0,1
1540410755,1,0
1540440058,1,0
